୧༼✿ ͡◕ д ◕͡ ༽୨	Excited to the Right	emotions_positive
( ͡° ͜ʖ ͡°)	Famous Happy Emoticons	emotions_positive
∠( ᐛ 」∠)＿	Famous Happy Emoticons	emotions_positive
(ﾟ⊿ﾟ)	Famous Happy Emoticons	emotions_positive
ᕕ( ᐛ )ᕗ	Famous Happy Emoticons	emotions_positive
_へ__(‾◡◝ )>	Famous Happy Emoticons	emotions_positive
( ᐛ )و	Famous Happy Emoticons	emotions_positive
( ◞･౪･)	Famous Happy Emoticons	emotions_positive
( ´ ▽ ` )ﾉ	Triangle Mouths	emotions_positive
(*^▽^*)	Triangle Mouths	emotions_positive
(´∇ﾉ｀*)ノ	Triangle Mouths	emotions_positive
(ノ^∇^)	Triangle Mouths	emotions_positive
⊂((・▽・))⊃	Triangle Mouths	emotions_positive
(　＾∇＾)	Triangle Mouths	emotions_positive
( ﾟ▽ﾟ)/	Triangle Mouths	emotions_positive
（‐＾▽＾‐）	Triangle Mouths	emotions_positive
(“⌒∇⌒”)	Triangle Mouths	emotions_positive
（*´▽｀*）	Triangle Mouths	emotions_positive
(*＾▽＾)／	Triangle Mouths	emotions_positive
(*^▽^*)	Triangle Mouths	emotions_positive
(*~▽~)	Triangle Mouths	emotions_positive
(*≧▽≦)	Triangle Mouths	emotions_positive
(*⌒∇⌒*)	Triangle Mouths	emotions_positive
(*⌒▽⌒*)θ～♪	Triangle Mouths	emotions_positive
(/^▽^)/	Triangle Mouths	emotions_positive
(^∇^)	Triangle Mouths	emotions_positive
(＾▽＾)	Triangle Mouths	emotions_positive
(￣▽￣)ノ	Triangle Mouths	emotions_positive
(￣▽+￣*)	Triangle Mouths	emotions_positive
(゜▽゜;)	Triangle Mouths	emotions_positive
（=´∇｀=）	Triangle Mouths	emotions_positive
(＝⌒▽⌒＝)	Triangle Mouths	emotions_positive
(≡^∇^≡)	Triangle Mouths	emotions_positive
(≧∇≦)/	Triangle Mouths	emotions_positive
（⌒▽⌒）	Triangle Mouths	emotions_positive
(⌒▽⌒)☆	Triangle Mouths	emotions_positive
（⌒▽⌒ゞ	Triangle Mouths	emotions_positive
(●⌒∇⌒●)	Triangle Mouths	emotions_positive
(❁´▽`❁)*✲ﾟ*	Triangle Mouths	emotions_positive
(ノ*゜▽゜*)	Triangle Mouths	emotions_positive
°˖✧◝(⁰▿⁰)◜✧˖°	Triangle Mouths	emotions_positive
~ヾ(＾∇＾)	Triangle Mouths	emotions_positive
∩(︶▽︶)∩	Triangle Mouths	emotions_positive
≧(´▽｀)≦	Triangle Mouths	emotions_positive
ー( ´ ▽ ` )ﾉ	Triangle Mouths	emotions_positive
ヾ(´▽｀;)ゝ	Triangle Mouths	emotions_positive
ヾ(＾∇＾)	Triangle Mouths	emotions_positive
d=(´▽｀)=b	Triangle Mouths	emotions_positive
o(〃＾▽＾〃)o	Triangle Mouths	emotions_positive
o(^▽^)o	Triangle Mouths	emotions_positive
Ｏ(≧∇≦)Ｏ	Triangle Mouths	emotions_positive
o(≧∇≦o)	Triangle Mouths	emotions_positive
(๑꒪▿꒪)*	Triangle Mouths	emotions_positive
(⁎⚈᷀᷁▿⚈᷀᷁⁎)	Triangle Mouths	emotions_positive
(≧∇≦*)	Triangle Mouths	emotions_positive
(=^▽^=)	Triangle Mouths	emotions_positive
o(*^▽^*)o	Triangle Mouths	emotions_positive
೭੧(❛▿❛✿)੭೨	Triangle Mouths	emotions_positive
☜(⌒▽⌒)☞	Triangle Mouths	emotions_positive
☜(˚▽˚)☞	Triangle Mouths	emotions_positive
ɾ⚈▿⚈ɹ	Triangle Mouths	emotions_positive
ﾍ(=￣∇￣)ﾉ	Triangle Mouths	emotions_positive
φ(*⌒▽⌒)ﾉ	Triangle Mouths	emotions_positive
(*･▽･*)	Triangle Mouths	emotions_positive
(☆▽☆)	Triangle Mouths	emotions_positive
≡(*′▽`)っ	Triangle Mouths	emotions_positive
」(￣▽￣」)	Triangle Mouths	emotions_positive
(〃⌒∇⌒)	Triangle Mouths	emotions_positive
〔´∇｀〕	Triangle Mouths	emotions_positive
(゜▼゜＊）	Triangle Mouths	emotions_positive
໒( ͡ᵔ ▾ ͡ᵔ )७	Triangle Mouths	emotions_positive
(●♡∀♡)	Love Eyes	emotions_positive
(｡♥‿♥｡)	Love Eyes	emotions_positive
(♥ω♥ ) ~♪	Love Eyes	emotions_positive
(♥ω♥*)	Love Eyes	emotions_positive
(✿ ♥‿♥)	Love Eyes	emotions_positive
✿♥‿♥✿	Love Eyes	emotions_positive
乂‿乂	Love Eyes	emotions_positive
٩(♡ε♡ )۶	Love Eyes	emotions_positive
ლζ*♡ε♡*ζლ	Love Eyes	emotions_positive
⊂（♡⌂♡）⊃	Love Eyes	emotions_positive
(๑♡3♡๑)	Love Eyes	emotions_positive
(๑♡⌓♡๑)	Love Eyes	emotions_positive
♱♡‿♡♰	Love Eyes	emotions_positive
⊆♥_㇁♥⊇	Love Eyes	emotions_positive
(●♡∀♡))ヾ☆*。	Love Eyes	emotions_positive
໒( ♥ ◡ ♥ )७	Love Eyes	emotions_positive
༼♥ل͜♥༽	Love Eyes	emotions_positive
(灬♥ω♥灬)	Love Eyes	emotions_positive
(‘∀’●)♡	Left Love	emotions_positive
(´∀｀)♡	Left Love	emotions_positive
（*´▽｀*）	Left Love	emotions_positive
（´・｀ ）♡	Left Love	emotions_positive
（´ω｀♡%）	Left Love	emotions_positive
♥(ˆ⌣ˆԅ)	Left Love	emotions_positive
꒰˘̩̩̩⌣˘̩̩̩๑꒱♡	Left Love	emotions_positive
ლ(́◉◞౪◟◉‵ლ)	Left Love	emotions_positive
⸌̷̻( ᷇ॢॢ ᷆◍)⸌̷̻♡⃛	Left Love	emotions_positive
₍՞◌′ᵕ‵ू◌₎♡	Left Love	emotions_positive
♡ฅ(ᐤˊ꒳ฅˋᐤ♪)	Left Love	emotions_positive
ʚ♡⃛ɞ(ू•ᴗ•ू❁)	Left Love	emotions_positive
⃛(❛ั◡˜๑)	Left Love	emotions_positive
( ˭̵̵̵̵͈́◡ु͂˭̵̵̵͈̀ )ˉ̞̭♡	Left Love	emotions_positive
♡(ŐωŐ人)	Left Love	emotions_positive
⃛ヾ(๑❛ ▿ ◠๑ )	Left Love	emotions_positive
（*’∀’人）♥	Left Love	emotions_positive
(°◡°♡).:｡	Left Love	emotions_positive
ʸ(➜◡ु⚈᷉)♡⃛	Left Love	emotions_positive
ˉ̞̭(′͈∨‵͈♡)˄̻ ̊	Left Love	emotions_positive
◟(◔ั₀◔ั )◞ ༘♡	Left Love	emotions_positive
φ(ﾟ ωﾟ//）♡	Left Love	emotions_positive
ʸ(ᴖ́◡ु⚈᷉)♡⃛	Left Love	emotions_positive
